bùn	mud
thuật chụp ảnh, nghề nhiếp ảnh	photography
câu; thành ngữ, cụm từ	phrase
vật chất; (thuộc) cơ thể, thân thể	physical
về thân thể, theo luật tự nhiên	physically
vật lý học	physics
đàn pianô, dương cầm	piano
cuốc (đất); đào, khoét (lỗ)	pick
bức vẽ, bức họa	picture
mảnh, mẩu; đồng tiền	piece
con lợn	pig
cọc, chồng, đống, pin; đóng cọc, chất chồng	pile
viên thuốc	pill
phi công	pilot
đinh ghim; ghim., kẹp	pin
màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo	pink
Panh (đơn vị (đo lường) ở Anh bằng 0, 58 lít; ở Mỹ bằng 0, 473 lít); panh, lít (bia, sữa) a pint of beer + một panh bia	pint
ống dẫn (khí, nước...)	pipe
sân (chơi các môn thể thao); đầu hắc ín	pitch
lòng thương hại, điều đáng tiếc, đáng thương	pity
nơi, địa điểm; quảng trường	place
ngay thẳng, đơn giản, chất phác	plain
bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến	plan
sự lập kế hoạch, sự quy hoạch	planning
mặt phẳng, mặt bằng	plane
hành tinh	planet
thực vật, sự mọc lên; trồng, gieo	plant
chất dẻo, làm bằng chất dẻo	plastic
bản, tấm kim loại	plate
nền, bục, bệ; thềm, sân ga	platform
chơi, đánh; sự vui chơi, trò chơi, trận đấu	play
người chơi 1 trò chơi nào đó (nhạc cụ)	player
vui vẻ, dễ thương; dịu dàng, thân mật	pleasant
vui vẻ, dễ thương; thân mật	pleasantly
không dễ chịu, khó chịu, khó ưa	unpleasant
làm vui lòng, vừa lòng, mong... vui lòng, xin mời	please
mang lại niềm vui thích; dễ chịu	pleasing
hài lòng	pleased
niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích	pleasure
nhiều (s.k.lượng); chỉ sự thừa; sự sung túc, sự p.phú	plenty
mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án	plot
nút (thùng, chậu, bồn...)	plug
cộng với (số, người...); dấu cộng; cộng, thêm vào	plus
quá trưa, chiều, tối	p.m.
túi (quần áo, trong xe hơi), túi tiền	pocket
bài thơ	poem
thi ca; chất thơ	poetry
point mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)	point
nhọn, có đầu nhọn	pointed
chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc	poison
độc, có chất độc, gây chết, bệnh	poisonous
người Ba Lan; cực (nam châm, trái đất...)	pole
cảnh sát, công an	police
chính sách	policy
nước bóng, nước láng; đánh bóng, làm cho láng	polish
lễ phép, lịch sự	polite
lễ phép, lịch sự	politely
về chính trị, về chính phủ, có tính chính trị	political
về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt	politically
nhà chính trị, chính khách	politician
họat động chính trị, đời sống chính trị, quan điểm chính trị	politics
sự ô nhiễm	pollution
vũng nước; bể bơi, hồ bơi	pool
nghèo	poor
tiếp bốp, phong cách dân gian hiện đại; nổ bốp	pop
có tính đại chúng, (thuộc) nhân dân; được nhiều người ưa chuộng	popular
dân cư, dân số; mật độ dân số	population
cảng	port
đưa ra, đề ra, đặt; sự đặt, đề ra	pose
vị trí, chỗ	position
xác thực, rõ ràng, tích cực, lạc quan	positive
có, chiếm hữu	possess
quyền sở hữu, vật sở hữu	possession
khă năng, triển vọng	possibility
có thể, có thể thực hiện	possible
có lẽ, có thể, có thể chấp nhận được	possibly
thư, bưu kiện; gửi thư	post
bưu điện	post
can, bình, lọ...	pot
khoai tây	potato
tiềm năng; khả năng, tiềm lực	potential
tiềm năng, tiềm ẩn	potentially
pao - đơn vị đo lường	pound
rót, đổ, giội	pour
bột, bụi	powder
khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực	power
hùng mạnh, hùng cường	powerful
thực hành; thực tế	practical
về mặt thực hành; thực tế	practically
thực hành, thực tiễn	practice
thực hành, tập luyện	practise
sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương	praise
sự cầu nguyện	prayer
rõ ràng, chính xác; tỉ mỉ, kỹ tính	precise
đúng, chính xác, cần thận	precisely
báo trước, tiên đoán, dự báo	predict
thích hơn	prefer
sự thích hơn, sự ưa hơn; cái được ưa thích hơn	preference
mang thai; giàu trí tưởng tượng, sáng tạo	pregnant
biệt thự	premises
sự sửa soạn, sự chuẩn bị	preparation
sửa soạn, chuẩn bị	prepare
đã được chuẩn bị	prepared
sự hiện diện, sự có mặt; người, vât hiện diện	presence
and /(n)'prezәnt/ có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày	present
bài thuyết trình, sự trình diện, sự giới thiệu	presentation
bảo quản, giữ gìn	preserve
hiệu trưởng, chủ tịnh, tổng thống	president
sự ép, sự nén, sự ấn; ép, nén, bóp, ấn	press
sức ép, áp lực, áp suất	pressure
có thể được, có lẽ	presumably
giả vờ, giả bộ, làm ra vẻ	pretend
khá, vừa phải; xinh, xinh xắn;, đẹp	pretty
ngăn cản, ngăn chặn, ngăn ngừa	prevent
vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên	previous
trước, trước đây	previously
giá	price
sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ	pride
linh mục, thầy tu	priest
nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học	primary
trước hết, đầu tiên	primarily
thủ tướng	prime
hoành tử	prince
công chúa	princess
cơ bản, chủ yếu; nguyên lý, nguyên tắc	principle
in, xuất bản; sự in ra	print
sự in, thuật in, kỹ sảo in	printing
máy in, thợ in	printer
trước, ưu tiên	prior
sự ưu tế, quyền ưu tiên	priority
nhà tù	prison
tù nhân	prisoner
cá nhân, riêng	private
riêng tư, cá nhân	privately
giải, giải thưởng	prize
có thể, có khả năng	probable
hầu như chắc chắn	probably
vấn đề, điều khó giải quyết	problem
thủ tục	procedure
tiến lên, theo duổi, tiếp diễn	proceed
quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý	process
sản xuất, chế tạo	produce
nhà sản xuất	producer
sản phẩm	product
sự sản xuất, chế tạo	production
nghề, nghề nghiệp	profession
(thuộc) nghề, nghề nghiệp; chuyên nghiệp	professional
giáo sư, giảng viên	professor
thuận lợi, lợi ích, lợi nhuận	profit
chương trình; lên chương trình	program
chương trình	programme
sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển	progress
đề án, dự án, kế hoạch; dự kiến, kế hoạch	project
hứa, lời hứa	promise
thăng chức, thăng cấp	promote
sự thăng chức, sự thăng cấp	promotion
mau lẹ, nhanh chóng; xúi, giục, nhắc nhở	prompt
mau lẹ, ngay lập tức	promptly
tuyên bố, thông báo, phát âm	pronounce
sự phát âm	pronunciation
chứng, chứng cớ, bằng chứng; sự kiểm chứng	proof
đúng, thích đáng, thích hợp	proper
một cách đúng đắn, một cách thích đáng	properly
tài sản, của cải; đất đai, nhà cửa, bất động sản	property
sự cân xứng, sự cân đối	proportion
sự đề nghị, đề xuất	proposal
đề nghị, đề xuất, đưa ra	propose
viễn cảnh, toàn cảnh; triển vọng, mong chờ	prospect
bảo vệ, che chở	protect
sự bảo vệ, sự che chở	protection
sự phản đối, sự phản kháng; phản đối, phản kháng	protest
tự hào, kiêu hãnh	proud
một cách tự hào, một cách hãnh diện	proudly
chứng tỏ, chứng minh	prove
chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp	provide
với điều kiện là, miễn là	provided
panh (= 0, 58 lít (E);=0, 473 lít (A));	pint
= publicyhouse quán rượu, tiệm rượu	pub
chung, công cộng; công chúng, nhân dân	public
công khai, công cộng	publicly
sự công bố; sự xuất bản	publication
sự công khai, sự quảng cáo	publicity
công bố, ban bố; xuất bản	publish
công việc, nghề xuất bản	publishing
lôi, kéo, giật; sự lôi kéo, sự giật	pull
đấm, thụi; quả đấm, cú thụi	punch
phạt, trừng phạt	punish
sự trừng phạt, sự trừng trị	punishment
học sinh	pupil
sự mua, sự tậu; mua, sắm, tậu	purchase
nguyên chất, tinh khiết, trong lành	pure
hoàn toàn, chỉ là	purely
tía, có màu tía; màu tía	purple
mục đích, ý định	purpose
đuổi theo, đuổi bắt	pursue
xô đẩy; sự xô đẩy	push
đặt, để, cho vào	put
phẩm chất, năng lực; khả năng chuyên môn	qualification
đủ khả năng, đủ tư cách, điều kiện	qualify
đủ tư cách, điều kiện, khả năng	qualified
chất lượng, phẩm chất	quality
lượng, số lượng	quantity
1/4, 15 phút	quarter
nữ hoàng	queen
câu hỏi; hỏi, chất vấn	question
nhanh	quick
nhanh	quickly
lặng, yên lặng, yên tĩnh	quiet
lặng, yên lặng, yên tĩnh	quietly
thoát, thoát ra	quit
hoàn toàn, hầu hết	quite
trích dẫn	quote
loài, chủng, giống; cuộc đua; đua	race
cuộc đua	racing
sóng vô tuyến, radio	radio
đường ray	rail
đường sắt	railway
mưa, cơn mưa; mưa	rain
nâng lên, đưa lên, ngẩng lên	raise
dãy, hàng, loại; phạm vi, trình độ	range
hàng, dãy; sắp xếp thành hàng, dãy	rank
nhanh, nhanh chóng	rapid
nhanh, nhanh chóng	rapidly
hiếm, ít	rare
hiếm khi, ít khi	rarely
tỷ lệ, tốc độ	rate
thà.. còn hơn, thích... hơn	rather
sống (# chín), thô, còn nguyên chất	raw
đến, đi đến, tới	reach
tác động trở lại, phản ứng	react
sự phản ứng; sự phản tác dụng	reaction
đọc	read
sự đọc	reading
người đọc, độc giả	reader
sẵn sàng	ready
thực, thực tế, có thật	real
thực, thực ra, thực sự	really
hiện thực	realistic
sự thật, thực tế, thực tại	reality
thực hiện, thực hành	realize
phía sau; ở đằng sau, ở đằng sau	rear
lý do, lý lẽ	reason
có lý, hợp lý	reasonable
hợp lý	reasonably
vô lý	unreasonable
gọi về, triệu hồi; nhặc lại, gợi lại	recall
công thức; đơn thuốc	receipt
nhận, lĩnh, thu	receive
gần đây, mới đây	recent
gần đây, mới đây	recently
sự nhận, sự tiếp nhận, sự đón tiếp	reception
tính, đếm	reckon
sự công nhận, sự thừa nhận	recognition
nhận ra, nhận diện; công nhận, thừa nhận	recognize
giới thiệu, tiến cử; đề nghị, khuyên bảo	recommend
bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép	record
sự ghi, sự thu âm	recording
lấy lại, giành lại	recover
đỏ; màu đỏ	red
giảm, giảm bớt	reduce
sự giảm giá, sự hạ giá	reduction
xem, tham khảo; ám chỉ, nhắc đến	refer
sự tham khảo, hỏi ýe kiến	reference
phản chiếu, phản hồi, phản ánh	reflect
cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo	reform
tủ lạnh	refrigerator
sự từ chối, sự khước từ	refusal
từ chối, khước từ	refuse
nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý (lời chúc tụng cuối thư)	regard
về, về việc, đối với (vấn đề...)	regarding
vùng, miền	region
vùng, địa phương	regional
đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi	register
đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc	regret
thường xuyên, đều đặn	regular
đều đặn, thường xuyên	regularly
sự điều chỉnh, điều lệ, quy tắc	regulation
không chấp nhận, loại bỏ, bác bỏ	reject
kể lại, thuật lại; liên hệ, liên quan	relate
có liên quan, có quan hệ với ai, cái gì	related
mối quan hệ, sự liên quan, liên lạc	relation
mối quan hệ, mối liên lạc	relationship
có liên quan đến; người có họ, đại từ quan hệ	relative
có liên quan, có quan hệ	relatively
giải trí, nghỉ ngơi	relax
thanh thản, thoải mái	relaxed
làm giảm, bớt căng thẳng	relaxing
làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát khỏi, sự thả, phóng thích, sự phát hành	release
thích hợp, có liên quan	relevant
sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù	relief
tôn giáo	religion
(thuộc) tôn giáo	religious
tin vào, tin cậy, tin tưởng vào	rely
còn lại, vẫn còn như cũ	remain
còn lại	remaining
đồ thừa, cái còn lại	remains
sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình, để ý, chú ý	remark
đáng chú ý, đáng để ý; khác thường	remarkable
đáng chú ý, đáng để ý; khác thường	remarkably
nhớ, nhớ lại	remember
nhắc nhở, gợi nhớ	remind
xa, xa xôi, xa cách	remote
viêc di chuyển, việc dọn nhà, dời đi	removal
dời đi, di chuyển	remove
sự thuê mướn; cho thuê, thuê	rent
được thuê, được mướn	rented
sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu	repair
/ri'pi:t/ nhắc lại, lặp lại	repeat
được nhắc lại, được lặp lại	repeated
lặp đi lặp lại nhiều lần	repeatedly
thay thế	replace
sự trả lời, sự hồi âm; trả lời, hồi âm	reply
báo cáo, tường trình; bản báo cáo, bản tường trình	report
miêu tả, hình dung; đại diện, thay mặt	represent
điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng	representative
tái sản xuất	reproduce
sự nổi tiếng, nổi danh	reputation
lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu	request
đòi hỏi, yêu cầu, quy định	require
nhu cầu, sự đòi hỏi; luật lệ, thủ tục	requirement
giải thoát, cứu nguy; sự giải thoát, sự cứu nguy	rescue
sự nghiên cứu	research
sự hạn chế, điều kiện hạn chế	reservation
dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước	reserve
người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú	resident
chống lại, phản đổi, kháng cự	resist
sự chống lại, sự phản đối, sự kháng cự	resistance
quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn..)	resolve
kế sách, phương kế	resort
tài nguyên; kế sách, thủ đoạn	resource
sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục	respect
hưởng ứng, phản ứng lại, trả lời	respond
sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại	response
trách nhiệm, sự chịu trách nhiệm	responsibility
chịu trách nhiệm về, chịu trách nhiệm trước ai, gì	responsible
sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi	rest
nhà hàng ăn, hiệu ăn	restaurant
hoàn lại, trả lại; sửa chữa lại, phục hồi lại	restore
hạn chế, giới hạn	restrict
bị hạn chế, có giới hạn; vùng cấm	restricted
sự hạn chế, sự giới hạn	restriction
kết quả; bởi, do.. mà ra, kết quả là...	result
giữ lại, nhớ được	retain
rời bỏ, rút về; thôi, nghỉ việc, về hưu	retire
ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc	retired
sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc	retirement
trở lại, trở về; sự trở lại, sự trở về	return
bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá	reveal
đảo, ngược lại; điều trái ngược, mặt trái	reverse
sự xem lại, sự xét lại; làm lại, xem xét lại	review
đọc lại, xem lại, sửa lại, ôn lại	revise
sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại	revision
cuộc cách mạng	revolution
sự thưởng, phần thưởng; thưởng, thưởng công	reward
nhịp điệu	rhythm
gạo, thóc, cơm; cây lúa	rice
giàu, giàu có	rich
giải thoát (get rid of : tống khứ)	rid
đi, cưỡi (ngựa); sự đi, đường đi	ride
môn thể thao cưỡi ngựa, sự đi xe (bus, điện, xe đạp)	riding
người cưỡi ngựa, người đi xe đạp	rider
buồn cười, lố bịch, lố lăng	ridiculous
thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải	right
đúng, phải, có lý	rightly
chiếc nhẫn, đeo nhẫn cho ai	ring
sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt	rise
sự liều, mạo hiểm; liều	risk
đối thủ, địch thủ; đối địch, cạnh tranh	rival
sông	river
con đường, đường phố	road
cướp, lấy trộm	rob
đá	rock
vai (diễn), vai trò	role
cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn	roll
lãng mạn	romantic
mái nhà, nóc	roof
phòng, buồng	room
gốc, rễ	root
dây cáp, dây thừng, xâu, chuỗi	rope
gồ ghề, lởm chởm	rough
gồ ghề, lởm chởm	roughly
tròn, vòng quanh, xung quanh	round
bị làm thành tròn; phát triển đầy đủ	rounded
đường đi, lộ trình, tuyến đường	route
thói thường, lệ thường, thủ tục; thường lệ, thông thường	routine
hàng, dãy	row
(thuộc) vua, nữ hoàng, hoàng gia	royal
cọ xát, xoa bóp, nghiền, tán	rub
cao su	rubber
vật vô giá trị, bỏ đi, rác rưởi	rubbish
bất lịch sự, thô lỗ; thô sơ, đơn giản	rude
bất lịch sự, thô lỗ; thô sơ, đơn giản	rudely
làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản	ruin
bị hỏng, bị đổ nát, bị phá sản	ruined
quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển	rule
người cai trị, người trị vì; thước kẻ	ruler
tin đồn, lời đồn	rumour
chạy; sự chạy	run
sự chạy, cuộc chạy đua	running
người chạy	runner
(thuộc) nông thôn, vùng nông thôn	rural
xông lên, lao vào, xô đẩy; sự xông lên, sự lao vào, sự xô đẩy	rush
bào tải; đóng bao, bỏ vào bao	sack
buồn, buồn bã	sad
một cách buồn bã, đáng buồn là, không may mà	sadly
sự buồn rầu, sự buồn bã	sadness
an toàn, chắc chắn, đáng tin	safe
an toàn, chắc chắn, đáng tin	safely
sự an toàn, sự chắc chăn	safety
đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm	sail
sự đi thuyền	sailing
thủy thủ	sailor
sa lát (xà lách trộng dầu dấm); rau sống	salad
tiền lương	salary
việc bán hàng	sale
muối	salt
chứ vị muối, có muối, mặn	salty
đều đều, đơn điệu; cũng như thế, vẫn cái đó	same
mẫu, hàng mẫu	sample
cát	sand
sự làm cho thỏa mãn, toại nguyện; sự trả nợ, bồi thường	satisfaction
làm thỏa mãn, hài lòng; trả (nợ), chuộc tội	satisfy
cảm thấy hài lòng, vừa ý, thoả mãn	satisfied
đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý	satisfying
thứ 7	Saturday
nước xốt, nước chấm	sauce
cứu, lưu	save
sự cứu, sự tiết kiệm	saving
nói	say
vảy (cá..)	scale
làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng	scare
bị hoảng sợ, bị sợ hãi	scared
cảnh, phong cảnh	scene
kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch	schedule
sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ	scheme
đàn cá, bầy cá	school
khoa học, khoa học tự nhiên	science
(thuộc) khoa học, có tính khoa học	scientific
nhà khoa học	scientist
cái kéo	scissors
