sinh viên	student
tính chất dày, độ dày, bề dày	thickness
kẻ trộm, kẻ cắp	thief
mỏng, mảnh	thin
cái, đồ, vật	thing
nghĩ, suy nghĩ	think
sự suy nghĩ, ý nghĩ	thinking
khát, cảm thấy khát	thirsty
cái này, điều này, việc này	this
cẩn thận, kỹ lưỡng	thorough
kỹ lưỡng, thấu đáo, triệt để	thoroughly
dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy	though
sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy	thought
chỉ, sợi chỉ, sợi dây	thread
sự đe dọa, lời đe dọa	threat
dọa, đe dọa	threaten
sự đe dọa, sự hăm dọa	threatening
cổ, cổ họng	throat
qua, xuyên qua	through
khắp, suốt	throughout
ném, vứt, quăng	throw
ngón tay cái	thumb
thứ 5	Thursday
như vậy, như thế, do đó	thus
vé	ticket
sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp	tidy
không gọn gàng, không ngăn nắp, lộn xộn	untidy
buộc, cột, trói; dây buộc, daay trói, dây giày	tie
kín, chặt, chật	tight
chặc chẽ, sít sao	tightly
cho đến khi, tới lúc mà	till
thời gian, thì giờ	time
kế hoạch làm việc, thời gian biểu	timetable
thiếc	tin
rất nhỏ, nhỏ xíu	tiny
đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào	tip
) /´taiə/ làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe	tire
sự mệt mỏi, sự mệt nhọc	tiring
mệt, muốn ngủ, nhàm chán	tired
đầu đề, tiêu đề; tước vị, tư cách	title
theo hướng, tới	to
vào ngày này; hôm nay, ngày nay	today
ngón chân (người)	toe
cùng nhau, cùng với	together
nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)	toilet
cà chua	tomato
vào ngày mai; ngày mai	tomorrow
tấn	ton
tiếng, giọng	tone
lưỡi	tongue
vào đêm nay, vào tối nay; đêm nay, tối nay	tonight
tấn	tonne
cũng	too
dụng cụ, đồ dùng	tool
răng	tooth
chóp, đỉnh; đứng đầu, trên hết	top
đề tài, chủ đề	topic
tổng cộng, toàn bộ; tổng số, toàn bộ số lượng	total
hoàn toàn	totally
sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc	touch
chắc, bền, dai	tough
cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch	tour
khách du lịch	tourist
theo hướng, về hướng	towards
khăn tắm, khăn lau	towel
tháp	tower
thị trấn, thị xã, thành phố nhỏ	town
đồ chơi, đồ trang trí; thể loại đồ chơi	toy
phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút	trace
phần của đĩa; đường mòn, đường đua	track
thương mại, buôn bán; buôn bán, trao đổi	trade
sự kinh doanh, việc mua bán	trading
truyền thống	tradition
theo truyền thống, theo lối cổ	traditional
(thuộc) truyền thống, là truyền thống	traditionally
sự đi lại, sự giao thông, sự chuyển động	traffic
xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo	train
sự dạy dỗ, sự huấn luyện, sự đào tạo	training
dời, di chuyển; sự di chuyển, sự dời chỗ	transfer
thay đổi, biến đổi	transform
dịch, biên dịch, phiên dịch	translate
sự dịch	translation
trong suốt; dễ hiểu, sáng sủa	transparent
sự vận chuyển, sự vận tải; phương tiện đi lại	transport
(BrE, NAmE) chuyên chở, vận tải	transport
đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại	trap
đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi	travel
người đi, lữ khách	traveller
đối xử, đối đãi, cư xử	treat
sự đối xử, sự cư xử	treatment
cây	tree
phương hướng, xu hướng, chiều hướng	trend
sự thử nghiệm, cuộc thử nghiệm	trial
hình tam giác	triangle
mưu mẹo, thủ đoạn, trò lừa gatj; lừa, lừa gạt	trick
cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn	trip
nhiệt đới	tropical
điều lo lắng, điều muộn phiền	trouble
quần	trousers
rau quả tươi	truck
đúng, thật	true
đúng sự thật, đích thực, thực sự	truly
niềm tin, sự phó thác; tin, tin cậy, phó thác	trust
sự thật	truth
thử, cố gắng	try
ống, tuýp	tube
thứ 3	Tuesday
điệu, giai điệu; lên dây, so dây (đàn)	tune
đường hầm, hang	tunnel
quay, xoay, vặn; sự quay, vòng quay	turn
hai lần	twice
sinh đôi, tạo thành cặp; cặp song sinh	twin
xoắn, cuộn, quắn; sự xoắn, vòng xoắn	twist
được xoắn, được cuộn	twisted
loại, kiểu, mẫu; phân loại, xếp loại	type
tiêu biểu, điển hình, đặc trưng	typical
điển hình, tiêu biểu	typically
lốp, vỏ xe	tyre
xấu xí, xấu xa	ugly
cuối cùng, sau cùng	ultimate
cuối cùng, sau cùng	ultimately
ô, dù	umbrella
không thể, không có khẳ năng (# có thể)	unable
không thể chấp nhận	unacceptable
không chắc chắn, khôn biết rõ ràng	uncertain
chú, bác	uncle
bất tiện, không tiện lợi	uncomfortable
bất tỉnh, ngất đi	unconscious
không bị kiềm chế, không bị kiểm tra	uncontrolled
dưới, ở dưới; ở phía dưới, về phía dưới	under
dưới mặt đất, ngầm dưới đất; ngầm	underground
dưới, bên dưới	underneath
hiểu, nhận thức	understand
trí tuệ, sự hiểu biết	understanding
ở dưới mặt nước, dưới mặt nước	underwater
quần lót	underwear
tháo, gỡ, xóa, hủy bỏ	undo
không dùng, thất nghiệp	unemployed
sự thất nghiệp, tình trạng thất nghiệp	unemployment
bất ngờ, đột ngột, gây ngạc nhiên	unexpected,
không đúng, không công bằng, gian lận	unfair,
không may, rủi ro, bất hạnh	unfortunate
một cách đáng tiếc, một cách không may	unfortunately
đối địch, không thân thiện	unfriendly
sự buồn, nỗi buồn	unhappiness
buồn rầu, khổ sở	unhappy
đồng phục; đều, giống nhau, đồng dạng	uniform
không quan trọng	unimportant
liên hiệp, sự đoàn kết, sự hiệp nhất	union
độc nhất vô nhị	unique
đơn vị	unit
liên kết, hợp nhất, hợp lại, kết thân	unite
liên minh, đoàn kết, chung, thống nhất	united
vũ trụ	universe
trường đại học	university
không tử tế, không tốt	unkind
không biết, không được nhận ra	unknown
trừ phi, trừ khi, nếu không	unless
không giống, khác	unlike
không có thể xảy ra, không chắc chắn; không có thực	unlikely
tháo, dỡ	unload
không gặp may, không may mắn	unlucky
không cần thiết, không mong muốn	unnecessary
không dễ chịu, khó chịu	unpleasant
vô lý, vượt quá giới hạn của cái hợp lý	unreasonable
không đúng mực, không vững, không chắc	unsteady
không thành công, không thành đạt	unsuccessful
không gọn gàng, không ngăn nắp, lộn xộn	untidy
trước khi, cho đến khi	until
hiếm, khác thường	unusual,
không muốn, không có ý định	unwilling,
ở trên, lên trên, lên	up
trên, ở trên	upon
cao hơn	upper
làm đổ, đánh đổ	upset
tính đánh đổ, làm đổ	upsetting
lộn ngược	upside
ở tên gác, cư ngụ ở tầng gác; tầng trên, gác	upstairs
lên, hướng lên, đi lên	upward
(thuộc) thành phố, khu vực	urban
thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc	urge
gấp, khẩn cấp	urgent
chúng tôi, chúng ta; tôi và anh	us
sử dụng, dùng; sự dùng, sự sử dụng	use
đã dùng, đã sử dụng	used
to doing sth sử dụng cái gì, sử dụng để làm cái gì	used
đã quen dùng	used
hữu ích, giúp ích	useful
vô ích, vô dụng	useless
người dùng, người sử dụng	user
thông thường, thường dùng	usual
thường thường	usually
hiếm, khác thường, đáng chú ý	unusual
cực kỳ, khác thường	unusually
kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ	vacation
chắc chắn, hiệu quả, hợp lý	valid
thung lũng	valley
có giá trị lớn, đáng giá	valuable
giá trị, ước tính, định giá	value
tiền đội, quân tiên phong; xe tải	van
sự biến đổi, sự thay đổi mức độ, sự khác nhau	variation
sự đa dạng, trạng thái khác nhau	variety
khác nhau, thuộc về nhiều loại	various
thay đổi, làm cho khác nhau, biến đổi	vary
thuộc nhiều loại khác nhau, những vẻ đa dạng	varied
rộng lớn, mênh mông	vast
rau, thực vật	vegetable
xe cộ	vehicle
sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan	venture
bản dịch sang một ngôn ngữ khác	version
thẳng đứng, đứng	vertical
rất, lắm	very
qua, theo đường	via
nạn nhân	victim
chiến thắng	victory
video	video
sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát	view
làng, xã	village
sự ác liệt, sự dữ dội; bạo lực	violence
mãnh liệt, mạnh mẽ, hung dữ	violent
mãnh liệt, dữ dội	violently
thực sự, hầu như, gần như	virtually
vi rút	virus
hữu hình, thấy được	visible
sự nhìn, thị lực	vision
đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng	visit
khách, du khách	visitor
(thuộc) sự sống, cần cho sự sống	vital
từ vựng	vocabulary
tiếng, giọng nói	voice
thế tích, quyển, tập	volume
sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử	vote
tiền lương, tiền công	wage
eo, chỗ thắt lưng	waist
chờ đợi	wait
người hầu bàn, người đợi, người trông chờ	waiter,
thức dậy, tỉnh thức	wake
đi, đi bộ; sự đi bộ, sự đi dạo	walk
sự đi, sự đi bộ	walking
tường, vách	wall
cái ví	wallet
đi lang thang; sự đi lang thang	wander
muốn	want
chiến tranh	war
ấm, ấm áp; làm cho nóng, hâm nóng	warm
trạng thái ấm, sự ấm áp; hơi ấm	warmth
báo cho biết, cảnh báo	warn
sự báo trước, lời cảnh báo	warning
rửa, giặt	wash
sự tắm rửa, sự giặt	washing
lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang	waste
nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng	watch
nước	water
sóng, gợn nước; gợn sóng, uốn thành sóng	wave
đường, đường đi	way
chúng tôi, chúng ta	we
yếu, yếu ớt	weak
tình trạng yếu đuối, yếu ớt	weakness
sự giàu có, sự giàu sang	wealth
vũ khí	weapon
mặc, mang, đeo	wear
thời tiết	weather
mạng, lưới	web
không gian liên tới với Internet	website
lễ cưới, hôn lễ	wedding
thứ 4	Wednesday
tuần, tuần lễ	week
cuối tuần	weekend
mỗi tuần một lần, hàng tuần	weekly
cân, cân nặng	weigh
trọng lượng	weight
chào mừng, hoan nghênh	welcome
tốt, giỏi; ôi, may quá!	well
phía Tây, theo phía tây, về hướng tây	west
về phía tây, của phía tây	western
ướt, ẩm ướt	wet
gì, thế nào	what
bất cứ thứ gì, bất kể thứ gì	whatever
bánh xe	wheel
khi, lúc, vào lúc nào	when
bất cứ lúc nào, lúc nào	whenever
đâu, ở đâu; nơi mà	where
nhưng ngược lại, trong khi	whereas
ở bất cứ nơi nào, ở bất cứ nơi đâu	wherever
có..không; có... chăng; không biết có.. không	whether
nào, bất cứ.. nào; ấy, đó	which
trong lúc, trong khi; lúc, chốc, lát	while
trong lúc, trong khi	whilst
nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào	whisper
sự huýt sáo, sự thổi còi; huýt sáo, thổi còi	whistle
trắng; màu trắng	white
ai, người nào, kẻ nào, người như thế nào	who
ai, người nào, bất cứ ai, bất cứ người nào, dù ai	whoever
bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể	whole
ai, người nào; người mà	whom
của ai	whose
tại sao, vì sao	why
rộng, rộng lớn	wide
nhiều, xa; rộng rãi	widely
tính chất rộng, bề rộng	width
vợ	wife
dại, hoang	wild
dại, hoang	wildly
sẽ; ý chí, ý định	will
bằng lòng, vui lòng, muốn	willing
sẵn lòng, tự nguyện	willingly
không sẵn lòng, miễn cưỡng	unwilling
không sẵn lòng, miễn cưỡng	unwillingly
sự bằng lòng, sự vui lòng	willingness
chiếm, đọat, thu được	win
đang dành thắng lợi, thắng cuộc	winning
quấn lại, cuộn lại	wind
gió	wind
cửa sổ	window
rượu, đồ uống	wine
cánh, sự bay, sự cất cánh	wing
người thắng cuộc	winner
mùa đông	winter
dây (kim loại)	wire
khôn ngoan, sáng suốt, thông thái	wise
ước, mong muốn; sự mong ước, lòng mong muốn	wish
với, cùng	with
rút, rút khỏi, rút lui	withdraw
trong vong thời gian, trong khoảng thời gian	within
không, không có	without
sự làm chứng, bằng chứng; chứng kiến, làm chứng	witness
đàn bà, phụ nữ	woman
ngạc nhiên, lấy làm lạ, kinh ngạc	wonder
phi thường, khác thường, kỳ diệu, tuyệt vời	wonderful
gỗ	wood
làm bằng gỗ	wooden
len	wool
từ	word
làm việc, sự làm việc	work
sự làm, sự làm việc	working
người lao động	worker
thế giới	world
lo lắng, suy nghĩ; sự lo lắng, suy nghĩ	worry
gấy lo lắng, gây lo nghĩ	worrying
bồn chồn, lo nghĩ, tỏ ra lo lắng	worried
sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ	worship
đáng giá, có giá trị	worth
	would
vết thương, thương tích; làm bị thường, gây thương tích	wound
bị thương	wounded
gói, bọc, quấn	wrap
vật bao bọc, vật quấn quanh	wrapping
cổ tay	wrist
viết	write
sự viết	writing
viết ra, được thảo ra	written
người viết	writer
sai	wrong
một cách bất công, không đúng	wrongly
lat, thước Anh (bằng 0, 914 mét)	yard
há miệng; cử chỉ ngáp	yawn
vâng, ừ	yeah
năm	year
vàng; màu vàng	yellow
vâng, phải, có chứ	yes
hôm qua	yesterday
còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên	yet
anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày	you
trẻ, trẻ tuổi, thanh niên	young
của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày	your
cái của anh, cái của chị, cái của ngài, cái của mày; cái của các anh, cái của các chị, cái của các ngài, cái của chúng mày	yours
tự anh, tự chị, chính anh, chính mày, tự mày, tự mình	yourself
tuổi trẻ, tuổi xuân, tuổi thanh niên, tuổi niên thiếu	youth
số không	zero
khu vực, miền, vùng	zone
