vi	en
sự tán thành, đồng ý, sự chấp thuận	approval
tán thành, đồng ý, chấp thuận	approve
tán thành, đồng ý, chấp thuận	approving
giống với, giống hệt với	approximate
khoảng chừng, độ chừng	approximately
tháng Tư	April
diện tích, bề mặt	area
chứng tỏ, chỉ rõ	argue
lý lẽ	argument
xuất hiện, nảy ra, nảy sinh ra	arise
cánh tay; vũ trang, trang bị (vũ khí)	arm
vũ khí, binh giới, binh khí	arms
vũ trang	armed
quân đội	army
xung quanh, vòng quanh	around
sắp xếp, sắp đặt, sửa soạn	arrange
sự sắp xếp, sắp đặt, sự sửa soạn	arrangement
bắt giữ, sự bắt giữ	arrest
sự đến, sự tới nơi	arrival
đến, tới nơi	arrive
tên, mũi tên	arrow
nghệ thuật, mỹ thuật	art
bài báo, đề mục	article
nhân tạo	artificial
nhân tạo	artificially
nghệ sĩ	artist
thuộc nghệ thuật, thuộc mỹ thuật	artistic
như (as you know…)	as
ngượng, xấu hổ	ashamed
về một bên, sang một bên	aside
ngoài… ra	apart
hỏi	ask
ngủ, đang ngủ	asleep
vẻ bề ngoài, diện mạo	aspect
giúp, giúp đỡ; tham dự, có mặt	assist
sự giúp đỡ	assistance
người giúp đỡ, người phụ tá; giúp đỡ, phụ tá	assistant
kết giao, liên kết, kết hợp, cho cộng tác	associate
sự kết hợp, sự liên kết	association
mang, khoác, có, lấy (cái vẻ, tính chất…)	assume
đảm bảo, cam đoan	assure
khí quyển	atmosphere
nguyên tử	atom
gắn, dán, trói, buộc	attach
gắn bó	attached
sự tấn công, sự công kích; tấn công, công kích	attack
sự cố gắng, sự thử; cố gắng, thử	attempt
cố gắng, thử	attempted
dự, có mặt	attend
sự chú ý	attention
thái độ, quan điểm	attitude
người được ủy quyền	attorney
hút; thu hút, hấp dẫn	attract
sự hút, sức hút	attraction
hút, thu hút, có duyên, lôi cuốn	attractive
thính, khan giả	audience
tháng Tám	August
cô, dì	aunt
tác giả	author
uy quyền, quyền lực	authority
tự động	automatic
một cách tự động	automatically
mùa thu (US: mùa thu là fall)	autumn
có thể dùng được, có giá trị, hiệu lực	available
trung bình, số trung bình, mức trung bình	average
tránh, tránh xa	avoid
đánh thức, làm thức dậy	awake
phần thưởng; tặng, thưởng	award
biết, nhận thức, nhận thức thấy	aware
xa, xa cách, rời xa, đi xa	away
oai nghiêm, dễ sợ	awful
tàn khốc, khủng khiếp	awfully
vụng về, lung túng	awkward
vụng về, lung túng	awkwardly
lưng, về phía sau, trở lại	back
phía sau; nền	background
	backwards
về phía sau, lùi lại	backward
vi khuẩn	bacteria
xấu, tồi	bad
xấu, tồi	badly
xấu tính, dễ nổi cáu	bad-tempered
bao, túi, cặp xách	bag
hành lý	baggage
nung, nướng bằng lò	bake
cái cân; làm cho cân bằng, tương xứng	balance
quả bóng	ball
cấm, cấm chỉ; sự cấm	ban
băng, đai, nẹp	band
dải băng; băng bó	bandage
bờ (sông…) , đê	bank
quán bán rượu	bar
sự mặc cả, sự giao kèo mua bán	bargain
đặt chướng ngại vật	barrier
cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì	base
cơ bản, cơ sở	basic
cơ bản, về cơ bản	basically
nền tảng, cơ sở	basis
sự tắm	bath
buồng tắm, nhà vệ sinh	bathroom
pin, ắc quy	battery
trận đánh, chiến thuật	battle
gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế	bay
bãi biển	beach
mỏ chim	beak
mang, cầm, vác, đeo, ôm	bear
râu	beard
tiếng đập, sự đập; đánh đập, đấm	beat
đẹp	beautiful
tốt đẹp, đáng hài lòng	beautifully
vẻ đẹp, cái đẹp; người đẹp	beauty
bởi vì, vì	because
vì, do bởi	because
trở thành, trở nên	become
cái giường	bed
phòng ngủ	bedroom
thịt bò	beef
rượu bia	beer
trước, đằng trước	before
bắt đầu, khởi đầu	begin
phần đầu, lúc bắt đầu, lúc khởi đầu	beginning
sự thay mặt	behalf
đối xử, ăn ở, cư xử	behave
sau, ở đằng sau	behind
lòng tin, đức tin, sự tin tưởng	belief
tin, tin tưởng	believe
cái chuông, tiếng chuông	bell
thuộc về, của, thuộc quyền sở hữu	belong
ở dưới, dưới thấp, phía dưới	below
dây lưng, thắt lưng	belt
chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong	bend
khiếu, sở thích, khuynh hướng	bent
ở dưới, dưới thấp	beneath
lợi, lợi ích; giúp ích, làm lợi cho	benefit
bên cạnh, so với	beside
đánh cuộc, cá cược; sự đánh cuộc	bet
sự đánh cuộc	betting
/best/ tốt hơn, tốt nhất	better,
/wel/ tốt, khỏe	good,
giữa, ở giữa	between
ở xa, phía bên kia	beyond
xe đạp	bicycle
đặt giá, trả giá; sự đặt giá, sự trả giá	bid
to, lớn	big
hóa đơn, giấy bạc	bill
thùng, thùng đựng rượu	bin
sinh vật học	biology
chim	bird
sự ra đời, sự sinh đẻ	birth
ngày sinh, sinh nhật	birthday
bánh quy	biscuit
miếng, mảnh	bit
cắn, ngoạm; sự cắn, sự ngoạm	bite
đắng; đắng cay, chua xót	bitter
đắng, đắng cay, chua xót	bitterly
đen; màu đen	black
lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)	blade
khiển trách, mắng trách; sự khiển trách, sự mắng trách	blame
trống, để trắng; sự trống rỗng	blank
ngây ra, không có thần	blankly
đui, mù	blind
khối, tảng (đá); làm ngăn cản, ngăn chặn	block
hoe vàng, mái tóc hoe vàng	blonde
máu, huyết; sự tàn sát, chem giết	blood
nở hoa; sự nở hoa	blow
xanh, màu xanh	blue
tấm ván; lát ván, lót ván	board
tàu, thuyền	boat
thân thể, thân xác	body
sôi, luộc	boil
quả bom; oánh bom, thả bom	bomb
xương	bone
sách; ghi chép	book
giày ống	boot
bờ, mép, vỉa, lề (đường)	border
buồn chán, buồn tẻ	bore
buồn chán	boring
buồn chán	bored
sinh, đẻ	born:
vay, mượn	borrow
ông chủ, thủ trưởng	boss
cả hai	both
làm phiền, quấy rầy, làm bực mình	bother
chai, lọ	bottle
phần dưới cùng, thấp nhất; cuối, cuối cùng	bottom
nhất định, chắc chắn	bound
cái bát	bowl
hộp, thùng	box
con trai, thiếu niên	boy
bạn trai	boyfriend
óc não; đầu óc, trí não	brain
ngành; nhành cây, nhánh song, ngả đường	branch
nhãn (hàng hóa)	brand
gan dạ, can đảm	brave
bánh mỳ	bread
bẻ gãy, đập vỡ; sự gãy, sự vỡ	break
bị gãy, bị vỡ	broken
bữa điểm tâm, bữa sáng	breakfast
ngực, vú	breast
hơi thở, hơi	breath
hít, thở	breathe
sự hô hấp, sự thở	breathing
nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống	breed
gạch	brick
cái cầu	bridge
ngắn, gọn, vắn tắt	brief
ngắn, gọn, vắn tắt, tóm tắt	briefly
sáng, sáng chói	bright
sáng chói, tươi	brightly
tỏa sáng, rực rỡ, chói lọi	brilliant
mang, cầm , xách lại	bring
rộng	broad
rộng, rộng rãi	broadly
tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá	broadcast
anh, em trai	brother
nâu, màu nâu	brown
bàn chải; chải, quét	brush
bong bóng, bọt, tăm	bubble
ngân sách	budget
xây dựng	build
sự xây dựng, công trình xây dựng; tòa nhà binđinh	building
đạn (súng trường, súng lục)	bullet
búi, chùm, bó, cụm, buồng; bầy, đàn (AME)	bunch
đốt, đốt cháy, thắp, nung, thiêu	burn
bị đốt, bị cháy, khê; rám nắng, sạm (da)	burnt
nổ, nổ tung (bom, đạn); nổ, vỡ (bong bóng); háo hức	burst
chôn cất, mai táng	bury
xe buýt	bus
bụi cây, bụi rậm	bush
việc buôn bán, thương mại, kinh doanh	business
thương nhân	businessman,
bận, bận rộn	busy
nhưng	but
bơ	butter
cái nút, cái khuy, cúc	button
mua	buy
người mua	buyer
bởi, bằng	by
tạm biệt	bye
đồng xu (bằng 1/100 đô la)	cent
tủ có nhiều ngăn đựng đồ	cabinet
dây cáp	cable
bánh ngọt	cake
tính toán	calculate
sự tính toán	calculation
gọi; tiếng kêu, tiếng gọi	call
yên lặng, làm dịu đi; sự yên lặng, sự êm ả	calm
yên lặng, êm ả; bình tĩnh, điềm tĩnh	calmly
máy ảnh	camera
trại, chỗ cắm trại; cắm trại, hạ trại	camp
sự cắm trại	camping
chiến dịch, cuộc vận động	campaign
có thể; nhà tù, nhà giam, bình, ca đựng	can
có thể	could
hủy bỏ, xóa bỏ	cancel
bệnh ung thư	cancer
người ứng cử, thí sinh, người dự thi	candidate
kẹo	candy
mũ lưỡi trai, mũ vải	cap
có tài, có năng lực; có khả năng, cả gan	capable
năng lực, khả năng tiếp thu, năng suất	capacity
thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản	capital
người cầm đầu, người chỉ huy, thủ lĩnh	captain
bắt giữ, bắt; sự bắt giữ, sự bị bắt	capture
xe hơi	car
thẻ, thiếp	card
bìa cứng, các tông	cardboard
sự chăm sóc, chăm nom; chăm sóc	care
nghề nghiệp, sự nghiệp	career
cẩn thận, cẩn trọng, biết giữ gìn	careful
cẩn thận, chu đáo	carefully
sơ suất, cầu thả	careless
cẩu thả, bất cẩn	carelessly
tấm thảm, thảm (cỏ)	carpet
củ cà rốt	carrot
mang, vác, khuân chở	carry
vỏ, ngăn, túi	case
tiền, tiền mặt	cash
quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)	cast
thành trì, thành quách	castle
con mèo	cat
bắt lấy, nắm lấy, tóm lấy, chộp lấy	catch
hạng, loại; phạm trù	category
nguyên nhân, nguyên do; gây ra, gây nên	cause
dừng, ngừng, ngớt, thôi, hết, tạnh	cease
trần nhà	ceiling
kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng	celebrate
sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng	celebration
ô, ngăn	cell
(especially NAmE) điện thoại di động	cellphone
đồng xu (=1/100 đô la)	cent
(abbr. cm) xen ti met	centimetre
trung tâm, ở giữa, trung ương	central
điểm giữa, trung tâm, trung ương	centre
thế kỷ	century
nghi thức, nghi lễ	ceremony
chắc chắn	certain
chắc chắn, nhất định	certainly
thiếu chính xác, không chắc chắn	uncertain
giấy chứng nhận, bằng, chứng chỉ	certificate
dây, xích; xính lại, trói lại	chain
ghế	chair
/'tʃeə,wumən/ chủ tịch, chủ tọa	chairman,
sự thử thách, sự thách thức; thách thức, thử thách	challenge
buồng, phòng, buồng ngủ	chamber
sự may mắn	chance
thay đổi, sự thay đổi, sự biến đổi	change
kênh (TV, radio), eo biển	channel
chương (sách)	chapter
tính cách, đặc tính, nhân vật	character
riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm	characteristic
nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc	charge
lòng từ thiện, lòng nhân đức; sự bố thí	charity
đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ	chart
săn bắt; sự săn bắt	chase
nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu	chat
rẻ	cheap
rẻ, rẻ tiền	cheaply
lừa, lừa đảo; trò lừa đảo, trò gian lận	cheat
kiểm tra; sự kiểm tra	check
má	cheek
vui mừng, phấn khởi, hồ hởi	cheerful
vui vẻ, phấn khởi	cheerfully
pho mát	cheese
thuộc hóa học; chất hóa học, hóa chất	chemical
nhà hóa học	chemist
(BrE)	chemist’s
hóa học, môn hóa học, ngành hóa học	chemistry
séc	cheque
tủ, rương, hòm	chest
nhai, ngẫm nghĩ	chew
gà, gà con, thịt gà	chicken
trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp	chief
đứa bé, đứa trẻ	child
cằm	chin
vỏ bào, mảnh vỡ, chỗ sứt, mẻ	chip
sô cô la	chocolate
sự lựa chọn	choice
chọn, lựa chọn	choose
chặt, đốn, chẻ	chop
nhà thờ	church
điếu thuốc lá	cigarette
rạp xi nê, rạp chiếu bóng	cinema
đường tròn, hình tròn	circle
hoàn cảnh, trường hợp, tình huống	circumstance
người thành thị	citizen
thành phố	city
(thuộc) công dân	civil
đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu	claim
vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay	clap
lớp học	class
cổ điển, kinh điển	classic
lớp học, phòng học	classroom
sạch, sạch sẽ;	clean
lau chùi, quét dọn	clear
rõ ràng, sáng sủa	clearly
thư ký, linh mục, mục sư	clerk
lanh lợi, thông minh. tài giỏi, khéo léo	clever
làm thành tiếng lách cách; tiếng lách cách, cú nhắp (chuột)	click
khách hàng	client
khí hậu, thời tiết	climate
leo, trèo	climb
sự leo trèo	climbing
đồng hồ	clock
đóng kín, chật chội, che đậy	close
chặt chẽ, kỹ lưỡng, tỉ mỉ	closely
đóng, khép, kết thúc, chấm dứt	close
bảo thủ, không cởi mở, khép kín	closed
buồng, phòng để đồ, phòng kho	closet
vải, khăn trải bàn, áo thầy tu	cloth
quần áo	clothes
quần áo, y phục	clothing
mây, đám mây	cloud
câu lạc bộ; gậy, dùi cui	club
xen ti mét	centimetre
huấn luyện viên	coach
than đá	coal
sự lao dốc; bờ biển	coast
áo choàng	coat
mật mã, luật, điều lệ	code
cà phê	coffee
tiền kim loại	coin
lạnh, sự lạnh lẽo, lạnh nhạt	cold
lạnh nhạt, hờ hững, vô tâm	coldly
đổ, sụp đổ; sự đổ nát, sự sụp đổ	collapse
bạn đồng nghiệp	colleague
sưu tập, tập trung lại	collect
sự sưu tập, sự tụ họp	collection
trường cao đẳng, trường đại học	college
màu sắc; tô màu	colour
mang màu sắc, có màu sắc	coloured
cột , mục (báo)	column
sự kết hợp, sự phối hợp	combination
kết hợp, phối hợp	combine
đến, tới, đi đến, đi tới	come
hài kịch	comedy
sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi	comfort
thoải mái, tiện nghi, đầy đủ	comfortable
dễ chịu, thoải mái, tiện nghi, ấm cúng	comfortably
bất tiện, khó chịu, không thoải mái	uncomfortable
ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy	command
lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải	comment
buôn bán, thương mại	commercial
hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy thác	commission
giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù	commit
sự phạm tội, sự tận tụy, tận tâm	commitment
ủy ban	committee
công, công cộng, thông thường, phổ biến	common
thông thường, bình thường	commonly
truyền, truyền đạt; giao thiệp, liên lạc	communicate
sự giao tiếp, liên lạc, sự truyền đạt, truyền tin	communication
dân chúng, nhân dân	community
công ty	company
so sánh, đối chiếu	compare
sự so sánh	comparison
đua tranh, ganh đua, cạnh tranh	compete
sự cạnh tranh, cuộc thi, cuộc thi đấu	competition
cạnh tranh, đua tranh	competitive
phàn nàn, kêu ca	complain
lời than phiền, than thở; sự khiếu nại, đơn kiện	complaint
hoàn thành, xong;	complete
hoàn thành, đầy đủ, trọn vẹn	completely
phức tạp, rắc rối	complex
làm phức tạp, rắc rối	complicate
phức tạp, rắc rối	complicated
máy tính	computer
tập trung	concentrate
sự tập trung, nơi tập trung	concentration
khái niệm	concept
liên quan, dính líu tới; sự liên quan, sự dính líu tới	concern
có liên quan, có dính líu	concerned
bâng khuâng, ái ngại	concerning
buổi hòa nhạc	concert
kết luận, kết thúc, chấm dứt (công việc)	conclude
sự kết thúc, sự kết luận, phần kết luận	conclusion
bằng bê tông; bê tông	concrete
điều kiện, tình cảnh, tình thế	condition
or/kən'dʌkt/ điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy	conduct
hội nghị, sự bàn bạc	conference
lòng tin tưởng, sự tin cậy	confidence
tin tưởng, tin cậy, tự tin	confident
tự tin	confidently
giam giữ, hạn chế	confine
hạn chế, giới hạn	confined
xác nhận, chứng thực	confirm
xung đột, va chạm; sự xung đột, sự va chạm	conflict
đối mặt, đối diện, đối chiếu	confront
làm lộn xộn, xáo trộn	confuse
khó hiểu, gây bối rối	confusing
bối rối, lúng túng, ngượng	confused
sự lộn xộn, sự rối loạn	confusion
sự chúc mừng, khen ngợi; lời chúc mừng, khen ngợi (s)	congratulations
đại hội, hội nghị, Quốc hội	congress
kết nối, nối	connect
sự kết nối, sự giao kết	connection
tỉnh táo, có ý thức, biết rõ	conscious
bất tỉnh, không có ý thức, không biết rõ	unconscious
kết quả, hậu quả	consequence
thận trọng, dè dặt, bảo thủ	conservative
cân nhắc, xem xét; để ý, quan tâm, lưu ý đến	consider
lớn lao, to tát, đáng kể	considerable
đáng kể, lớn lao, nhiều	considerably
sự cân nhắc, sự xem xét, sự để ý, sự quan tâm	consideration
gồm có	consist
kiên trì, bền lòng	constant
kiên định	constantly
xây dựng	construct
sự xây dựng	construction
tra cứu, tham khảo, thăm dò, hỏi ý kiến	consult
người tiêu dùng	consumer
sự liên lạc, sự giao thiệp; tiếp xúc	contact
bao hàm, chứa đựng, bao gồm	contain
cái đựng, chứa; công te nơ	container
đương thời, đương đại	contemporary
nội dung, sự hài lòng	content
cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh	contest
văn cảnh, khung cảnh, phạm vi	context
lục địa, đại lục (lục địa Bắc Mỹ)	continent
tiếp tục, làm tiếp	continue
liên tục, liên tiếp	continuous
liên tục, liên tiếp	continuously
hợp đồng, sự ký hợp đồng; ký kết	contract
or /'kɔntræst / sự tương phản; làm tương phản, làm trái ngược	contrast
tương phản	contrasting
đóng góp, ghóp phần	contribute
sự đóng góp, sự góp phần	contribution
sự điều khiển, quyền hành, quyền lực, quyền chỉ huy	control
được điều khiển, được kiểm tra	controlled
không bị điều khiển, không bị kiểm tra, không bị hạn chế	uncontrolled
tiện lợi, thuận lợi, thích hợp	convenient
hội nghị, hiệp định, quy ước	convention
quy ước	conventional
cuộc đàm thoại, cuộc trò chuyện	conversation
đổi, biến đổi	convert
làm cho tin, thuyết phục; làm cho nhận thức thấy	convince
nấu ăn, người nấu ăn	cook
sự nấu ăn, cách nấu ăn	cooking
lò, bếp, nồi nấu	cooker
bánh quy	cookie
mát mẻ, điềm tĩnh; làm mát,	cool
đối phó, đương đầu	cope
bản sao, bản chép lại; sự sao chép; sao chép, bắt chước	copy
nòng cốt, hạt nhân; đáy lòng	core
góc (tường, nhà, phố...)	corner
đúng, chính xác; sửa, sửa chữa	correct
đúng, chính xác	correctly
giá, chi phí; trả giá, phải trả	cost
nhà tranh	cottage
bông, chỉ, sợi	cotton
ho, sự ho, tiếng hoa	cough
ho	coughing
có thể, có khả năng	could
hội đồng	council
đếm, tính	count
quầy hàng, quầy thu tiền, máy đếm	counter
nước, quốc gia, đất nước	country
miền quê, miền nông thôn	countryside
hạt, tỉnh	county
đôi, cặp; đôi vợ chồng, cặp nam nữ	couple
sự can đảm, sự dũng cảm, dũng khí	courage
tiến trình, quá trình diễn tiến; sân chạy đua	course
sân, sân (tennis...), tòa án, quan tòa, phiên tòa	court
anh em họ	cousin
bao bọc, che phủ; vỏ, vỏ bọc	cover
có mái che, kín đáo	covered
sự bao bọc, sự che phủ, cái bao, bọc	covering
con bò cái	cow
cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt	crack
rạn, nứt	cracked
nghề, nghề thủ công	craft
vải thô; sự rơi (máy bay), sự phá sản, sụp đổ; phá tan tành, phá vụn	crash
điên, mất trí	crazy
kem	cream
sáng tạo, tạo nên	create
sinh vật, loài vật	creature
sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng	credit
thẻ tín dụng	credit
tội, tội ác, tội phạm	crime
có tội, phạm tội; kẻ phạm tội, tội phạm	criminal
sự khủng hoảng, cơn khủng hoảng	crisis
giòn	crisp
tiêu chuẩn	criterion
phê bình, phê phán; khó tính	critical
sự phê bình, sự phê phán, lời phê bình, lời phê phán	criticism
phê bình, phê phán, chỉ trích	criticize
vụ mùa	crop
cây Thánh Giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua	cross
đám đông	crowd
đông đúc	crowded
vương miện, vua, ngai vàng; đỉnh cao nhất	crown
quyết định, cốt yếu, chủ yếu	crucial
độc ác, dữ tợn, tàn nhẫn	cruel
ép, vắt, đè nát, đè bẹp	crush
khóc, kêu la; sự khóc, tiếng khóc, sự kêu la	cry
(thuộc) văn hóa	cultural
văn hóa, sự mở mang, sự giáo dục	culture
tách, chén	cup
1 loại tủ có ngăn	cupboard
kiềm chế, nén lại, hạn chế	curb
chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc	cure
ham muốn, tò mò, lạ lùng	curious
tò mò, hiếu kỳ, lạ kỳ	curiously
quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn	curl
quăn, xoắn	curly
hiện hành, phổ biến, hiện nay; dòng (nước), luống (gió)	current
hiện thời, hiện nay	currently
màn (cửa, rạp hát, khói, sương)	curtain
đường cong, đường vòng; cong, uốn cong, bẻ cong	curve
cong	curved
phong tục, tục lệ, thói quen, tập quán	custom
khách hàng	customer
thuế nhập khẩu, hải quan	customs
cắt, chặt; sự cắt	cut
chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp	cycle
sự đi xe đạp	cycling
bố, cha	dad
hàng ngày	daily
mối hạn, điều hại, sự thiệt hại; làm hư hại, làm hỏng, gây thiệt hại	damage
ẩm, ẩm ướt, ẩm thấp	damp
sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ	dance
sự nhảy múa, sự khiêu vũ	dancing
diễn viên múa, người nhảy múa	dancer
